,P,I,V,Q,N,L,Q,G,Q,M,V,H,Q,A,I,S,P,R,T,L,N,A,W,V,K,V,V,E,E,K,A,F,S,P,E,V,I,P,M,F,S,A,L,S,E,G,A,T,P,Q,D,L,N,T,M,L,N,T,V,G,G,H,Q,A,A,M,Q,M,L,K,E,T,I,N,E,E,A,A,E,W,D,R,L,H,P,V,H,A,G,P,I,A,A,G,Q,M,R,E,P,R,G,S,D,I,A,G,T,T,S,T,L,Q,E,Q,I,G,W,M,T,H,N,P,P,I,P,V,G,E,I,Y,K,R,W,I,I,L,G,L,N,K,I,V,R,M,Y
M,0.6105833649635315,0.6383988261222839,0.6804612874984741,0.7347353100776672,0.6892808675765991,0.7042062282562256,0.6913160681724548,0.7598371505737305,0.6533241868019104,0.6431478261947632,0.6926729083061218,0.6485752463340759,0.7184532284736633,0.6662142872810364,0.6587516069412231,0.6791044473648071,0.6451831459999084,0.6648574471473694,0.6261871457099915,0.6675711870193481,0.6913161277770996,0.6519674062728882,0.6594300866127014,0.6770691275596619,0.6445046663284302,0.7605155110359192,0.6845318078994751,0.6621437668800354,0.6668927073478699,0.6322930455207825,0.7021708488464355,0.6614652872085571,0.7150610089302063,0.6336498856544495,0.6438263058662415,0.6621437668800354,0.6662143468856812,0.6953866481781006,0.6112617254257202,0.7069198489189148,0.6227949857711792,0.733378529548645,0.6845318078994751,0.6879239082336426,0.6187245845794678,0.6824965476989746,0.7089551091194153,0.6655358672142029,0.6071913242340088,0.6512889266014099,0.6207597851753235,0.6797828674316406,0.6390773057937622,0.6940297484397888,0.5943012237548828,0.6858886480331421,0.6587516069412231,0.6791044473648071,0.6981003284454346,0.7204883694648743,0.6601084470748901,0.6160107851028442,0.6716417670249939,0.6824965476989746,0.7340569496154785,0.6255087852478027,0.7225236892700195,0.6105833649635315,0.6797828078269958,0.6519674062728882,0.6085480451583862,0.6214381456375122,0.7069199085235596,0.634328305721283,0.6214382648468018,0.6044775247573853,0.6757122874259949,0.738805890083313,0.595658004283905,0.6445046663284302,0.6587516069412231,0.6058343648910522,0.6573947668075562,0.6763907670974731,0.6350067257881165,0.6071913242340088,0.6126186847686768,0.6533243060112,0.6770690679550171,0.6112618446350098,0.8683853149414062,0.3826322853565216,0.8059700727462769,0.46811386942863464,0.7449117302894592,0.6567164063453674,0.6770691275596619,0.5881953239440918,0.6777474880218506,0.6431478261947632,0.6743555068969727,0.6146539449691772,0.6757122278213501,0.6709632873535156,0.6791044473648071,0.6675711870193481,0.6540026068687439,0.6560379266738892,0.6506105661392212,0.6336498856544495,0.6716417670249939,0.6960651278495789,0.6818181276321411,0.6601084470748901,0.7116689682006836,0.6065128445625305,0.6573947668075562,0.6411126255989075,0.6736769676208496,0.6397556662559509,0.6567164063453674,0.6112618446350098,0.6017638444900513,0.7069199681282043,0.6648574471473694,0.6567164063453674,0.6919945478439331,0.6336498856544495,0.6886023283004761,0.6777474880218506,0.6390772461891174,0.5936227440834045,0.6675711870193481,0.7293079495429993,0.6824965476989746,0.6994571685791016,0.6478968858718872,0.704206109046936,0.6424692869186401,0.6160107851028442,0.6506105065345764,0.6506105661392212,0.6458615660667419,0.6085480451583862,0.7014924883842468
V,0.4823608994483948,0.5101763010025024,0.5522388219833374,0.6065127849578857,0.5610582828521729,0.5759837031364441,0.5630936026573181,0.6316145658493042,0.5251017212867737,0.5149253010749817,0.5644503831863403,0.5203527212142944,0.5902305245399475,0.5379917621612549,0.5305290818214417,0.5508819818496704,0.5169605612754822,0.5366349220275879,0.49796465039253235,0.5393486022949219,0.5630934238433838,0.5237448811531067,0.5312076807022095,0.5488464832305908,0.5162821412086487,0.6322931051254272,0.5563092231750488,0.5339211821556091,0.5386703014373779,0.5040705800056458,0.5739484429359436,0.5332428216934204,0.5868384838104248,0.5054274201393127,0.5156037211418152,0.5339213609695435,0.5379918813705444,0.5671640634536743,0.4830392599105835,0.5786972641944885,0.4945725202560425,0.6051560044288635,0.5563093423843384,0.5597015023231506,0.4905019998550415,0.5542740225791931,0.5807325839996338,0.5373134016990662,0.4789687395095825,0.5230664014816284,0.4925372302532196,0.5515603423118591,0.5108547806739807,0.5658072829246521,0.46607857942581177,0.5576662421226501,0.5305291414260864,0.5508819818496704,0.5698778629302979,0.5922658443450928,0.5318860411643982,0.48778825998306274,0.5434191226959229,0.5542740225791931,0.6058343648910522,0.49728620052337646,0.594301164150238,0.4823608100414276,0.5515603423118591,0.5237448811531067,0.4803255796432495,0.4932156801223755,0.5786972641944885,0.5061057806015015,0.4932156801223755,0.47625499963760376,0.5474897623062134,0.6105833649635315,0.46743541955947876,0.5162821412086487,0.5305289626121521,0.47761183977127075,0.5291723608970642,0.5481681227684021,0.5067841410636902,0.4789687395095825,0.4843961000442505,0.5251016020774841,0.5488466620445251,0.48303934931755066,0.7401626706123352,0.2544095814228058,0.6777474284172058,0.3398914933204651,0.6166892051696777,0.5284938216209412,0.5488466620445251,0.4599727690219879,0.5495250225067139,0.5149253010749817,0.5461328029632568,0.48643141984939575,0.5474897623062134,0.5427407622337341,0.5508819818496704,0.5393487215042114,0.5257800817489624,0.5278154015541077,0.5223879218101501,0.5054273009300232,0.5434191226959229,0.5678425431251526,0.5535955429077148,0.5318859815597534,0.5834462642669678,0.47829028964042664,0.5291723608970642,0.5128899812698364,0.5454544425010681,0.5115331411361694,0.5284938216209412,0.4830392599105835,0.4735413193702698,0.5786972641944885,0.5366349220275879,0.5284938216209412,0.5637719631195068,0.5054274201393127,0.5603799223899841,0.5495250225067139,0.5108547806739807,0.46540018916130066,0.5393487215042114,0.6010854244232178,0.5542740225791931,0.5712346434593201,0.5196742415428162,0.5759835839271545,0.5142468810081482,0.4877883195877075,0.5223880410194397,0.5223881006240845,0.5176390409469604,0.4803255796432495,0.5732699036598206
N,0.47489815950393677,0.5027136206626892,0.5447760820388794,0.5990502834320068,0.5535956621170044,0.5685209631919861,0.5556309223175049,0.6241519451141357,0.5176389813423157,0.5074626207351685,0.5569878220558167,0.5128899812698364,0.582767903804779,0.5305291414260864,0.5230664610862732,0.5434193015098572,0.5094979405403137,0.5291722416877747,0.4905019998550415,0.5318860411643982,0.5556309223175049,0.5162822008132935,0.5237448811531067,0.5413839817047119,0.5088194012641907,0.6248303055763245,0.5488464832305908,0.5264585614204407,0.5312075018882751,0.4966077506542206,0.5664856433868408,0.5257801413536072,0.5793758034706116,0.49796465039253235,0.5081409811973572,0.5264585614204407,0.5305291414260864,0.5597013831138611,0.4755765497684479,0.5712346434593201,0.4871097803115845,0.5976932048797607,0.5488466620445251,0.5522387027740479,0.4830392599105835,0.5468113422393799,0.5732699036598206,0.5298506021499634,0.4715060293674469,0.5156037211418152,0.4850744903087616,0.5440975427627563,0.5033921599388123,0.5583446025848389,0.4586159288883209,0.5502034425735474,0.5230663418769836,0.5434191226959229,0.5624151825904846,0.5848031640052795,0.5244232416152954,0.48032552003860474,0.5359565019607544,0.5468113422393799,0.5983717441558838,0.4898235499858856,0.5868384838104248,0.47489815950393677,0.5440976619720459,0.5162822008132935,0.4728628695011139,0.48575302958488464,0.5712347626686096,0.4986431896686554,0.4857529401779175,0.4687923491001129,0.5400270819664001,0.6031205654144287,0.4599728286266327,0.5088195204734802,0.5230664610862732,0.4701491892337799,0.5217095613479614,0.5407054424285889,0.4993215799331665,0.47150593996047974,0.47693344950675964,0.5176389813423157,0.5413839817047119,0.47557660937309265,0.7327001690864563,0.24694706499576569,0.6702849268913269,0.3324286639690399,0.6092264652252197,0.5210312008857727,0.5413838624954224,0.45251011848449707,0.5420624017715454,0.5074626207351685,0.5386701822280884,0.4789687395095825,0.5400270819664001,0.5352780818939209,0.5434193015098572,0.5318860411643982,0.5183175206184387,0.5203527808189392,0.5149254202842712,0.49796465039253235,0.5359565019607544,0.5603797435760498,0.5461329817771912,0.5244232416152954,0.5759835839271545,0.47082754969596863,0.5217095613479614,0.5054273009300232,0.5379917621612549,0.5040705800056458,0.5210312008857727,0.4755765497684479,0.46607866883277893,0.5712346434593201,0.5291722416877747,0.5210310816764832,0.5563093423843384,0.49796465039253235,0.5529171228408813,0.5420624017715454,0.5033920407295227,0.45793747901916504,0.5318860411643982,0.5936227440834045,0.5468113422393799,0.5637719631195068,0.5122116208076477,0.5685209631919861,0.5067842602729797,0.4803255796432495,0.5149253010749817,0.5149253010749817,0.5101764798164368,0.47286301851272583,0.5658072829246521
P,0.42198094725608826,0.4497964382171631,0.4918588399887085,0.5461329221725464,0.5006783604621887,0.5156037211418152,0.5027136206626892,0.5712346434593201,0.46472182869911194,0.45454540848731995,0.5040704607963562,0.4599727690219879,0.5298507213592529,0.47761183977127075,0.4701491892337799,0.4905019998550415,0.4565806984901428,0.47625505924224854,0.4375847280025482,0.47896867990493774,0.5027136206626892,0.4633648991584778,0.47082754969596863,0.48846670985221863,0.45590224862098694,0.5719131827354431,0.4959293603897095,0.4735413193702698,0.47829028964042664,0.44369053840637207,0.5135683417320251,0.47286292910575867,0.5264585614204407,0.44504743814468384,0.45522382855415344,0.4735413193702698,0.4776118993759155,0.5067841410636902,0.42265939712524414,0.5183174014091492,0.4341926574707031,0.5447760820388794,0.4959293603897095,0.49932149052619934,0.430122047662735,0.4938940703868866,0.5203527808189392,0.47693344950675964,0.4185888171195984,0.4626865088939667,0.4321572780609131,0.4911803901195526,0.4504747986793518,0.5054273009300232,0.4056987166404724,0.4972861409187317,0.4701491892337799,0.49050194025039673,0.5094979405403137,0.5318860411643982,0.4715060293674469,0.4274083077907562,0.4830392599105835,0.4938940703868866,0.5454544425010681,0.43690624833106995,0.5339211821556091,0.42198094725608826,0.4911803901195526,0.4633648991584778,0.41994568705558777,0.43283581733703613,0.5183174014091492,0.44572582840919495,0.43283572793006897,0.41587504744529724,0.4871099293231964,0.5502034425735474,0.4070555865764618,0.45590224862098694,0.4701491892337799,0.4172319769859314,0.4687923491001129,0.48778825998306274,0.44640421867370605,0.4185888171195984,0.42401623725891113,0.46472182869911194,0.48846670985221863,0.42265939712524414,0.6797828078269958,0.1940297782421112,0.6173676252365112,0.2795114517211914,0.5563093423843384,0.46811386942863464,0.48846670985221863,0.39959290623664856,0.4891451597213745,0.45454540848731995,0.48575302958488464,0.42605146765708923,0.4871097803115845,0.4823608100414276,0.4905019998550415,0.4789687395095825,0.46540018916130066,0.46743541955947876,0.4620080590248108,0.44504743814468384,0.4830392599105835,0.5074626207351685,0.4932156801223755,0.4715060889720917,0.5230664610862732,0.4179103374481201,0.46879225969314575,0.45251011848449707,0.48507457971572876,0.4511532783508301,0.46811386942863464,0.42265939712524414,0.41316136717796326,0.5183175206184387,0.47625505924224854,0.46811386942863464,0.5033920407295227,0.44504737854003906,0.4999999701976776,0.4891451597213745,0.45047488808631897,0.4050202965736389,0.4789687395095825,0.5407054424285889,0.4938940703868866,0.5108548402786255,0.45929431915283203,0.5156037211418152,0.45386695861816406,0.427408367395401,0.4620080590248108,0.4620080590248108,0.45725908875465393,0.4199456572532654,0.5128899812698364
T,0.28426045179367065,0.3120759129524231,0.35413825511932373,0.40841245651245117,0.36295783519744873,0.3778832256793976,0.3649931252002716,0.433514267206192,0.3270012438297272,0.3168249726295471,0.36635005474090576,0.32225242257118225,0.3921302258968353,0.33989134430885315,0.3324286639690399,0.3527815043926239,0.3188602030277252,0.33853450417518616,0.2998642027378082,0.3412482440471649,0.3649931252002716,0.3256444036960602,0.33310720324516296,0.350746214389801,0.3181816637516022,0.4341925084590912,0.35820892453193665,0.33582088351249695,0.34056970477104187,0.30597010254859924,0.3758479952812195,0.3351423442363739,0.3887380361557007,0.30732694268226624,0.3175033628940582,0.33582088351249695,0.33989134430885315,0.36906373500823975,0.2849388122558594,0.3805968463420868,0.29647207260131836,0.4070555567741394,0.35820886492729187,0.3616010844707489,0.2924015522003174,0.35617372393608093,0.38263213634490967,0.33921295404434204,0.28086838126182556,0.3249660134315491,0.29443684220314026,0.35346004366874695,0.31275439262390137,0.3677068054676056,0.2679782211780548,0.35956576466560364,0.33242881298065186,0.3527815043926239,0.37177741527557373,0.39416539669036865,0.3337855935096741,0.2896878719329834,0.34531885385513306,0.35617372393608093,0.4077339470386505,0.2991858422756195,0.39620083570480347,0.28426045179367065,0.353459894657135,0.32564446330070496,0.28222522139549255,0.29511523246765137,0.38059699535369873,0.3080053925514221,0.29511532187461853,0.2781546115875244,0.34938928484916687,0.4124830663204193,0.2693350613117218,0.31818175315856934,0.3324286639690399,0.2795114517211914,0.33107176423072815,0.350067675113678,0.3086837828159332,0.2808682322502136,0.28629565238952637,0.32700130343437195,0.350746214389801,0.2849388122558594,0.5420624017715454,0.05630927532911301,0.47964712977409363,0.14179103076457977,0.4185887277126312,0.33039337396621704,0.3507462739944458,0.26187238097190857,0.35142457485198975,0.31682491302490234,0.3480323851108551,0.2883310317993164,0.34938928484916687,0.34464031457901,0.3527815043926239,0.3412482440471649,0.32767969369888306,0.32971498370170593,0.32428762316703796,0.30732694268226624,0.3453187644481659,0.36974212527275085,0.3554951846599579,0.3337855935096741,0.3853459656238556,0.2801899313926697,0.3310719132423401,0.3147895336151123,0.34735414385795593,0.3134327530860901,0.33039337396621704,0.28493890166282654,0.27544087171554565,0.38059699535369873,0.33853450417518616,0.3303934633731842,0.36567166447639465,0.30732694268226624,0.3622794449329376,0.35142457485198975,0.3127543032169342,0.2672998309135437,0.3412482440471649,0.40298494696617126,0.356173574924469,0.37313416600227356,0.32157379388809204,0.3778831660747528,0.3161464333534241,0.2896878123283386,0.32428762316703796,0.324287474155426,0.3195386528968811,0.28222522139549255,0.37516963481903076
V,0.63568514585495,0.6635006070137024,0.7055630087852478,0.7598370313644409,0.7143826484680176,0.7293078899383545,0.7164178490638733,0.7849388122558594,0.6784259676933289,0.6682495474815369,0.7177746295928955,0.6736769676208496,0.7435548901557922,0.6913160681724548,0.6838533878326416,0.7042061686515808,0.6702848672866821,0.6899592280387878,0.6512889266014099,0.6926729679107666,0.7164177894592285,0.6770691275596619,0.6845318675041199,0.7021708488464355,0.6696063876152039,0.7856172919273376,0.7096335887908936,0.6872455477714539,0.6919944286346436,0.6573948264122009,0.7272726893424988,0.6865671873092651,0.7401626706123352,0.6587516665458679,0.6689280867576599,0.6872455477714539,0.6913160681724548,0.7204883694648743,0.6363635659217834,0.7320216298103333,0.6478968262672424,0.7584801912307739,0.7096335887908936,0.7130257487297058,0.6438261866569519,0.7075982093811035,0.7340569496154785,0.6906377077102661,0.6322930455207825,0.6763906478881836,0.6458615064620972,0.7048845887184143,0.6641790270805359,0.7191315293312073,0.6194028854370117,0.7109904289245605,0.6838533878326416,0.7042062282562256,0.7232021689414978,0.7455902099609375,0.6852103471755981,0.6411125063896179,0.6967434287071228,0.7075982093811035,0.759158730506897,0.6506105661392212,0.7476254105567932,0.6356850862503052,0.7048845887184143,0.6770691275596619,0.6336498856544495,0.6465399861335754,0.7320215702056885,0.6594300866127014,0.6465399861335754,0.6295793652534485,0.7008140683174133,0.7639075517654419,0.6207597255706787,0.6696063876152039,0.6838533878326416,0.6309361457824707,0.6824965476989746,0.7014924883842468,0.6601085066795349,0.6322929859161377,0.6377204060554504,0.6784259676933289,0.7021708488464355,0.6363635659217834,0.8934869766235352,0.4077339470386505,0.8310717940330505,0.4932156801223755,0.7700134515762329,0.6818181276321411,0.7021709084510803,0.6132970452308655,0.7028493285179138,0.6682496070861816,0.6994571685791016,0.6397557854652405,0.7008140683174133,0.6960650682449341,0.704206109046936,0.6926729679107666,0.6791044473648071,0.6811397075653076,0.6757122278213501,0.6587516069412231,0.6967434287071228,0.7211668491363525,0.7069198489189148,0.6852102279663086,0.7367706298828125,0.6316145658493042,0.6824964880943298,0.6662143468856812,0.6987788081169128,0.6648574471473694,0.6818181276321411,0.6363635659217834,0.6268656253814697,0.7320216298103333,0.6899592280387878,0.6818181276321411,0.7170963287353516,0.6587516665458679,0.7137041687965393,0.7028493881225586,0.6641790270805359,0.618724524974823,0.6926729679107666,0.7544097900390625,0.7075982689857483,0.7245590090751648,0.6729986071586609,0.7293079495429993,0.6675711870193481,0.6411125063896179,0.6757122874259949,0.6757122874259949,0.6709632873535156,0.6336498856544495,0.7265942692756653
F,0.6729986071586609,0.7008140087127686,0.7428765296936035,0.7971504926681519,0.7516961097717285,0.7666214108467102,0.7537313103675842,0.8222523927688599,0.7157394289970398,0.7055630087852478,0.755088210105896,0.7109904289245605,0.7808683514595032,0.7286295294761658,0.7211668491363525,0.741519570350647,0.7075982689857483,0.7272726893424988,0.6886023879051208,0.7299863696098328,0.7537312507629395,0.7143825888633728,0.7218453288078308,0.7394843101501465,0.7069199085235596,0.8229307532310486,0.7469470500946045,0.7245588898658752,0.7293079495429993,0.6947082281112671,0.7645860910415649,0.7238805294036865,0.7774762511253357,0.6960650682449341,0.7062414288520813,0.7245590090751648,0.7286295294761658,0.7578017711639404,0.6736770868301392,0.7693350911140442,0.6852102279663086,0.7957936525344849,0.7469470500946045,0.750339150428772,0.6811397075653076,0.7449116706848145,0.7713704109191895,0.7279511094093323,0.6696064472198486,0.7137041687965393,0.6831749677658081,0.7421979904174805,0.7014924883842468,0.7564449906349182,0.6567164063453674,0.7483038902282715,0.7211667895317078,0.741519570350647,0.760515570640564,0.7829036116600037,0.7225236892700195,0.6784259676933289,0.7340568900108337,0.7449116706848145,0.7964721918106079,0.6879239082336426,0.7849388122558594,0.6729986071586609,0.7421980500221252,0.7143825888633728,0.6709632873535156,0.6838533878326416,0.769335150718689,0.6967434883117676,0.6838533878326416,0.6668927073478699,0.7381275296211243,0.8012210130691528,0.6580732464790344,0.7069199085235596,0.7211669087409973,0.6682496070861816,0.7198100090026855,0.738805890083313,0.6974219083786011,0.6696064472198486,0.6750338077545166,0.7157394289970398,0.739484429359436,0.6736769676208496,0.9308005571365356,0.44504737854003906,0.8683852553367615,0.5305291414260864,0.8073269724845886,0.7191315293312073,0.7394843101501465,0.6506105065345764,0.74016273021698,0.7055630087852478,0.7367706298828125,0.6770691275596619,0.7381274700164795,0.7333784699440002,0.7415196895599365,0.7299864292144775,0.7164178490638733,0.7184531092643738,0.7130256295204163,0.6960650682449341,0.7340569496154785,0.7584801912307739,0.744233250617981,0.7225236296653748,0.7740840911865234,0.6689280271530151,0.7198100090026855,0.7035276889801025,0.7360921502113342,0.7021709084510803,0.7191316485404968,0.6736769676208496,0.6641790270805359,0.7693350911140442,0.7272726893424988,0.7191315293312073,0.7544096112251282,0.6960650682449341,0.7510175704956055,0.74016273021698,0.701492428779602,0.6560379266738892,0.7299864292144775,0.7917230725288391,0.744911789894104,0.761872410774231,0.7103119492530823,0.7666214108467102,0.7048845887184143,0.6784260272979736,0.7130256295204163,0.7130257487297058,0.7082767486572266,0.6709632873535156,0.7639077305793762
F,0.2930799424648285,0.3208954334259033,0.36295783519744873,0.41723188757896423,0.37177741527557373,0.3867027163505554,0.3738127052783966,0.442333847284317,0.335820734500885,0.3256444036960602,0.37516963481903076,0.3310719132423401,0.4009496569633484,0.34871089458465576,0.3412482440471649,0.3616010844707489,0.32767969369888306,0.347353994846344,0.3086837828159332,0.350067675113678,0.37381255626678467,0.3344639837741852,0.34192678332328796,0.3595656156539917,0.32700130343437195,0.4430122375488281,0.36702844500541687,0.34464046359062195,0.3493894338607788,0.31478968262672424,0.3846675753593445,0.3439619243144989,0.3975575864315033,0.31614652276039124,0.32632285356521606,0.34464046359062195,0.34871089458465576,0.3778831660747528,0.2937583327293396,0.38941654562950134,0.3052915632724762,0.4158751368522644,0.36702844500541687,0.3704206347465515,0.3012210428714752,0.3649931252002716,0.39145171642303467,0.34803253412246704,0.2896878719329834,0.3337855041027069,0.30325642228126526,0.3622794449329376,0.3215738832950592,0.3765263855457306,0.2767978608608246,0.36838534474372864,0.3412482440471649,0.3616010844707489,0.3805968463420868,0.40298494696617126,0.3426051735877991,0.2985074520111084,0.35413825511932373,0.3649931252002716,0.4165534973144531,0.3080053925514221,0.40502026677131653,0.29308000206947327,0.3622792959213257,0.3344639837741852,0.2910447120666504,0.30393481254577637,0.38941654562950134,0.3168248236179352,0.30393481254577637,0.28697413206100464,0.35820886492729187,0.4213024973869324,0.27815455198287964,0.32700130343437195,0.341248095035553,0.2883310317993164,0.3398914933204651,0.358887255191803,0.3175033628940582,0.28968796133995056,0.29511532187461853,0.335820734500885,0.35956576466560364,0.29375848174095154,0.5508819818496704,0.06512869894504547,0.4884665608406067,0.15061059594154358,0.42740821838378906,0.33921295404434204,0.35956576466560364,0.27069196105003357,0.36024415493011475,0.3256444036960602,0.35685208439826965,0.2971506118774414,0.35820886492729187,0.35346004366874695,0.3616010844707489,0.3500678241252899,0.33649927377700806,0.33853450417518616,0.333107054233551,0.3161464333534241,0.35413825511932373,0.37856167554855347,0.3643146753311157,0.3426050841808319,0.39416539669036865,0.2890094816684723,0.3398914933204651,0.3236091136932373,0.35617372393608093,0.3222523331642151,0.339213103055954,0.29375848174095154,0.28426051139831543,0.3894163966178894,0.347353994846344,0.3392128646373749,0.3744910955429077,0.31614652276039124,0.3710990250110626,0.36024415493011475,0.32157379388809204,0.27611932158470154,0.3500678241252899,0.41180452704429626,0.3649931252002716,0.38195374608039856,0.33039337396621704,0.3867027163505554,0.3249660134315491,0.29850736260414124,0.3331071436405182,0.33310720324516296,0.32835814356803894,0.2910447120666504,0.38398903608322144
D,0.30732694268226624,0.33514243364334106,0.3772047758102417,0.43147897720336914,0.3860243558883667,0.40094974637031555,0.3880596458911896,0.45658063888549805,0.35006773471832275,0.3398914933204651,0.38941654562950134,0.3453187048435211,0.41519659757614136,0.36295783519744873,0.3554951846599579,0.3758479952812195,0.3419266939163208,0.36160099506378174,0.3229307234287262,0.3643146753311157,0.3880596458911896,0.34871089458465576,0.356173574924469,0.3738127052783966,0.34124818444252014,0.45725899934768677,0.3812754452228546,0.3588874042034149,0.36363622546195984,0.3290364742279053,0.39891451597213745,0.35820886492729187,0.41180452704429626,0.3303934633731842,0.3405698537826538,0.3588874042034149,0.36295783519744873,0.3921302258968353,0.30800533294677734,0.4036633372306824,0.31953859329223633,0.430122047662735,0.38127535581588745,0.3846675753593445,0.31546807289123535,0.3792400658130646,0.40569862723350525,0.3622794449329376,0.30393481254577637,0.34803253412246704,0.3175033628940582,0.3765263855457306,0.3358208239078522,0.39077332615852356,0.2910447120666504,0.3826322853565216,0.3554953336715698,0.3758479952812195,0.39484384655952454,0.41723188757896423,0.3568519353866577,0.31275439262390137,0.36838534474372864,0.3792402148246765,0.4308004379272461,0.3222523331642151,0.41926732659339905,0.30732694268226624,0.3765263855457306,0.34871089458465576,0.30529165267944336,0.31818175315856934,0.4036634862422943,0.3310718238353729,0.31818175315856934,0.3012211322784424,0.37245580554008484,0.4355495572090149,0.2924015522003174,0.3412482440471649,0.3554951846599579,0.3025779724121094,0.35413825511932373,0.37313416600227356,0.3317503035068512,0.3039347231388092,0.30936217308044434,0.3500678241252899,0.3738127052783966,0.30800533294677734,0.5651288628578186,0.07937578111886978,0.5027136206626892,0.16485753655433655,0.44165530800819397,0.353459894657135,0.3738127052783966,0.28493890166282654,0.3744910955429077,0.3398914039134979,0.3710988759994507,0.3113975524902344,0.37245580554008484,0.3677068054676056,0.3758479952812195,0.3643147647380829,0.350746214389801,0.3527815043926239,0.34735414385795593,0.3303934633731842,0.36838534474372864,0.39280861616134644,0.37856167554855347,0.35685208439826965,0.40841245651245117,0.30325642228126526,0.35413840413093567,0.3378560245037079,0.3704206347465515,0.33649927377700806,0.353459894657135,0.3080053925514221,0.29850736260414124,0.4036634862422943,0.36160099506378174,0.3534599542617798,0.3887380361557007,0.33039337396621704,0.3853459656238556,0.3744910955429077,0.3358208239078522,0.2903663218021393,0.3643147647380829,0.42605146765708923,0.3792400658130646,0.39620068669319153,0.34464031457901,0.4009496569633484,0.33921295404434204,0.3127543032169342,0.34735414385795593,0.347353994846344,0.3426050841808319,0.30529171228408813,0.39823612570762634
I,0.5630936026573181,0.5909090042114258,0.6329714059829712,0.6872455477714539,0.6417909264564514,0.6567164063453674,0.6438261866569519,0.7123473286628723,0.6058344841003418,0.5956580638885498,0.6451831459999084,0.6010854244232178,0.6709632873535156,0.6187244057655334,0.6112617254257202,0.6316145658493042,0.5976932644844055,0.6173677444458008,0.5786972641944885,0.6200814247131348,0.6438261866569519,0.6044774651527405,0.6119402647018433,0.6295793056488037,0.597014844417572,0.7130257487297058,0.6370419263839722,0.6146539449691772,0.6194029450416565,0.5848031640052795,0.6546810865402222,0.6139754056930542,0.6675711274147034,0.5861601233482361,0.5963364243507385,0.6146539449691772,0.6187244653701782,0.6478968262672424,0.5637719631195068,0.6594300866127014,0.5753052234649658,0.6858887672424316,0.6370419263839722,0.6404341459274292,0.5712347030639648,0.6350067853927612,0.6614652276039124,0.6180460453033447,0.5597014427185059,0.6037991046905518,0.5732699036598206,0.6322931051254272,0.591587483882904,0.6465398669242859,0.5468112826347351,0.6383988261222839,0.6112619042396545,0.6316145658493042,0.6506105661392212,0.6729984879493713,0.6126186847686768,0.5685209631919861,0.6241519451141357,0.6350067853927612,0.6865670084953308,0.5780189037322998,0.6750339269638062,0.5630935430526733,0.6322930455207825,0.6044774651527405,0.5610582828521729,0.5739483833312988,0.6594300866127014,0.5868384838104248,0.5739483833312988,0.5569877028465271,0.6282223463058472,0.6913161277770996,0.5481681227684021,0.597014844417572,0.6112617254257202,0.5583445429801941,0.6099050045013428,0.6289008855819702,0.5875169634819031,0.5597014427185059,0.5651288032531738,0.6058343648910522,0.6295793056488037,0.5637720227241516,0.8208954334259033,0.3351423442363739,0.7584801912307739,0.42062410712242126,0.6974219679832458,0.6092265248298645,0.6295793652534485,0.5407054424285889,0.6302577257156372,0.5956580638885498,0.6268657445907593,0.5671641230583191,0.6282223463058472,0.6234734654426575,0.6316145658493042,0.6200813055038452,0.6065127849578857,0.6085481643676758,0.6031206846237183,0.5861600041389465,0.6241519451141357,0.6485753655433655,0.6343282461166382,0.6126186847686768,0.6641790270805359,0.5590230226516724,0.6099050045013428,0.5936227440834045,0.6261871457099915,0.5922658443450928,0.6092265844345093,0.5637719631195068,0.5542740821838379,0.6594300866127014,0.6173676252365112,0.6092265248298645,0.644504725933075,0.5861601233482361,0.6411125063896179,0.6302576661109924,0.5915875434875488,0.5461329221725464,0.6200813055038452,0.6818181872367859,0.6350067853927612,0.6519672274589539,0.6004070043563843,0.6567162275314331,0.5949795246124268,0.5685209631919861,0.6031206846237183,0.6031206846237183,0.5983717441558838,0.5610582828521729,0.6540027260780334
